,番号,分類
615,615,作物栽培、作物学
616,616,食用作物
617,617,工芸作物
618,618,繊維作物
619,619,農産物製造・加工
620,620,園芸
621,621,園芸経済・行政・経営
622,622,園芸史・事情 
623,623,園芸植物学、病虫害 
624,624,温室、温床、園芸用具 
625,625,果樹園芸
626,626,蔬菜園芸
627,627,花卉園芸（草花）
628,628,園芸利用
629,629,造園
630,630,蚕糸業
631,631,蚕糸経済・行政・経営
632,632,蚕糸業史・事情 
633,633,蚕学、蚕業基礎学 
634,634,蚕種
635,635,飼育法
636,636,くわ、栽桑 
637,637,蚕室、蚕具
638,638,まゆ
639,639,製糸、生糸、蚕糸利用
640,640,畜産業
641,641,畜産経済・行政・経営
642,642,畜産史・事情 
643,643,家畜の繁殖、家畜飼料
644,644,家畜の管理、畜舎、用具
645,645,家畜、畜産動物、愛玩動物
646,646,家禽
647,647,みつばち、昆虫 
648,648,畜産製造、畜産物
649,649,獣医学
650,650,林業
651,651,林業経済・行政・経営
652,652,森林史、林業史・事情 
653,653,森林立地、造林
654,654,森林保護
655,655,森林施業
656,656,森林工学
657,657,森林利用、林産物、木材学
658,658,林産製造
659,659,狩猟
660,660,水産業
661,661,水産経済・行政・経営
662,662,水産業および漁業史・事情 
663,663,水産基礎学 
664,664,漁労、漁業各論
665,665,漁船、漁具
666,666,水産増殖、養殖業 
667,667,水産製造、水産食品
668,668,水産物利用、水産利用工業
669,669,製塩、塩業
670,670,商業
671,671,商業政策・行政
672,672,商業史・事情
673,673,商業経営、商店
674,674,広告、宣伝
675,675,マーケティング
676,676,取引所
677,677,
678,678,貿易
679,679,
680,680,運輸、交通
681,681,交通政策・行政・経営
682,682,交通史・事情
683,683,海運
684,684,内陸水運、運河交通
685,685,陸運、道路運輸
686,686,鉄道運輸
687,687,航空運輸
688,688,倉庫業 
689,689,観光事業 
690,690,通信事業
691,691,通信政策・行政・法令
692,692,通信事業史・事情
693,693,郵便、郵政事業
694,694,電気通信事業
695,695,
696,696,
697,697,
698,698,
699,699,放送事業
700,700,芸術、美術
701,701,芸術理論、美学
702,702,芸術史、美術史
703,703,参考図書（レファレンスブック）
704,704,論文集、評論集、講演集
705,705,逐次刊行物
706,706,団体
707,707,研究法、指導法、芸術教育
708,708,叢書、全集、選集
709,709,芸術政策、文化財
710,710,彫刻
711,711,彫塑材料・技法
712,712,彫刻史、各国の彫刻
713,713,木彫
714,714,石彫
715,715,金属彫刻、鋳造
716,716,
717,717,粘土彫刻、塑造
718,718,仏像
719,719,オブジェ 
720,720,絵画
721,721,日本画
722,722,東洋画
723,723,洋画
724,724,絵画材料・技法
725,725,素描、描画
726,726,漫画、挿絵、児童画
727,727,グラフィックデザイン、図案
728,728,書、書道
729,729,
730,730,版画
731,731,版画材料・技法
732,732,版画史、各国の版画
733,733,木版画
734,734,石版画（リトグラフ）
735,735,銅版画、鋼版画
736,736,リノリウム版画、ゴム版画
737,737,写真版画、孔版画
738,738,
739,739,印章、篆刻、印譜
740,740,写真
741,741,
742,742,写真器械・材料
743,743,撮影技術
744,744,現像、印画
745,745,複写技術 
746,746,特殊写真
747,747,写真の応用
748,748,写真集
749,749,印刷
750,750,工芸
751,751,陶磁工芸
752,752,漆工芸
753,753,染織工芸
754,754,木竹工芸
755,755,宝石・牙角・皮革工芸
756,756,金工芸
757,757,デザイン、装飾美術
758,758,美術家具
759,759,人形、玩具
760,760,音楽
761,761,音楽の一般理論、音楽学
762,762,音楽史、各国の音楽
763,763,楽器、器楽
764,764,器楽合奏
765,765,宗教音楽、聖楽
766,766,劇音楽
767,767,声楽
768,768,邦楽
769,769,舞踊、バレエ
770,770,演劇
771,771,劇場、演出、演技
772,772,演劇史、各国の演劇
773,773,能楽、狂言
774,774,歌舞伎
775,775,各種の演劇
776,776,
777,777,人形劇
778,778,映画
779,779,大衆演芸
780,780,スポーツ、体育
781,781,体操、遊戯
782,782,陸上競技
783,783,球技
784,784,冬季競技
785,785,水上競技
786,786,戸外レクリエーション
787,787,釣魚、遊猟
788,788,相撲、拳闘、競馬
789,789,武術
790,790,諸芸、娯楽
791,791,茶道
792,792,香道
793,793,花道（華道）
794,794,ビリヤード
795,795,囲碁
796,796,将棋
797,797,射倖ゲーム
798,798,その他の室内娯楽
799,799,ダンス
800,800,言語
801,801,言語学
802,802,言語史・事情、言語政策
803,803,参考図書（レファレンスブック）
804,804,論文集、評論集、講演集
805,805,逐次刊行物
806,806,団体
